name		mrzero
type		none
health		200
mp		100
cantgrab	1
jumpheight	0
mprate          3
nomove		1 1
modelflag	3
weaploss	3
noquake         1

subject_to_gravity      0
subject_to_platform 	0
subject_to_obstacle 	0

subject_to_screen 	0
diesound        data/sounds/empty.wav
icon		data/chars/0null/icon.gif
parrow          data/chars/0null/empty.gif
parrow2         data/chars/0null/empty.gif
parrow3         data/chars/0null/empty.gif




palette	none

anim	attack1
	loop	0
	delay	500
	offset	5 5
	bbox	0 0 0 0
	frame	data/chars/0null/empty.gif
		
anim	fall
	loop	0
	delay	10
	offset	5 5
	bbox	0 0 0 0
	sound	data/sounds/empty.wav
	frame	data/chars/0null/empty.gif
		
anim	grabbed
	loop	0
	delay	100
	offset	5 5
	bbox	0 0 0 0
	frame	data/chars/0null/empty.gif
		
anim	idle
	loop	1
	delay	55
	offset	5 5
	bbox	0 0 0 0
	frame	data/chars/0null/empty.gif
	frame	data/chars/0null/empty.gif
	frame	data/chars/0null/empty.gif
		
anim	jump
		
anim	pain
	loop	0
	delay	7
	offset	5 5
	bbox	0 0 0 0
	frame	data/chars/0null/empty.gif
		
anim	rise
	loop	0
	delay	15
	offset	5 5
	bbox	0 0 0 0
	frame	data/chars/0null/empty.gif
		
anim	spawn
	loop	0
	delay	20
	offset	5 5
	bbox	0 0 0 0
	frame	data/chars/0null/empty.gif
	frame	data/chars/0null/empty.gif
	frame	data/chars/0null/empty.gif
		
anim	special
		
anim	walk
	loop	1
	delay	14
	offset	5 5
	bbox	0 0 0 0
	frame	data/chars/0null/empty.gif
		
#|edited by openBor Stats v 0.53
		
